Word Length,Longest Word,Letters,Total Words,
6,regard,adegrr,19,
6,washer,aehrsw,12,
7,beeswax,abeeswx,12,
7,context,cenottx,15,
7,dynamic,acdimny,13,
7,biotech,bcehiot,13,
7,obelisk,beiklos,12,
7,cynical,accilny,13,
7,gesture,eegrstu,19,
7,glowing,ggilnow,16,
7,scratch,acchrst,11,
7,tourism,imorstu,17,
7,managed,aadegmn,13,
7,tonight,ghinott,15,
7,rapidly,adilpry,12,
8,bathroom,abhmoort,12,
8,republic,bceilpru,13,
8,tendency,cdeennty,15,
8,printing,giinnprt,17,
8,occasion,accinoos,13,
8,barefoot,abefoort,14,
6,brazen,abenrz,13,
6,sentry,enrsty,20,
6,patron,anoprt,20,
6,record,cdeorr,16,
7,catalog,aacglot,19,
7,musical,acilmsu,13,
7,control,clnoort,20,
7,keyword,dekorwy,9,
7,costume,cemostu,14,
7,columns,clmnosu,16,
7,nothing,ghinnot,15,
7,enacted,acdeent,14,
7,partner,aenprrt,16,
8,peephole,eeehlopp,14,
8,actually,aaclltuy,15,
8,lighting,gghiilnt,15,
7,unified,defiinu,15,
7,himself,efhilms,12,
7,weapons,aenopsw,14,
7,becomes,bceemos,13,
7,updated,addeptu,16,
7,members,beemmrs,15,
7,measure,aeemrsu,16,
7,herring,eghinrr,15,
7,pattern,aenprtt,16,
7,overlay,aelorvy,12,
8,goodwill,dgilloow,17,
8,cannibal,aabcilnn,18,
8,homeless,eehlmoss,14,
5,bread,abder,17,
6,hockey,cehkoy,9,
6,thrown,hnortw,14,
6,spider,deiprs,15,
7,vaccine,acceinv,15,
7,gravity,agirtvy,15,
7,package,aacegkp,12,
7,garland,aadglnr,20,
7,concert,ccenort,20,
7,founded,ddefnou,15,
7,warning,aginnrw,16,
7,insurer,einrrsu,21,
7,grandma,aadgmnr,17,
8,although,aghhlotu,12,
8,eyeliner,eeeilnry,19,
8,frequent,eefnqrtu,12,
8,titanium,aiimnttu,20,
8,reindeer,deeeinrr,17,
6,amulet,aelmtu,20,
6,handle,adehln,19,
6,broken,beknor,14,
6,weight,eghitw,11,
6,lights,ghilst,17,
6,mousse,emossu,19,
7,cupcake,accekpu,11,
7,comfort,cfmoort,15,
7,someone,eemnoos,20,
7,covered,cdeeorv,13,
7,caramel,aacelmr,14,
7,anymore,aemnory,13,
7,engines,eeginns,21,
7,foreign,efginor,14,
7,designs,deginss,17,
7,lighter,eghilrt,15,
7,console,celnoos,17,
7,outside,deiostu,18,
7,percent,ceenprt,14,
7,lesions,eilnoss,21,
8,unlawful,afllnuuw,15,
8,sorcerer,ceeorrrs,20,
8,mandarin,aadimnnr,16,
8,celeriac,acceeilr,14,
8,thinking,ghiiknnt,10,
8,haunting,aghinntu,13,
6,sexual,aelsux,14,
6,impose,eimops,16,
6,costly,closty,17,
6,reduce,cdeeru,17,
7,bassoon,abnooss,19,
7,despite,deeipst,16,
7,brought,bghortu,12,
7,noodles,delnoos,19,
7,default,adefltu,14,
7,sending,deginns,16,
8,goldfish,dfghilos,13,
8,tiramisu,aiimrstu,17,
8,standout,adnosttu,20,
8,suburban,abbnrsuu,14,
6,method,dehmot,15,
6,archer,acehrr,16,
