letters,longest,wordlen,
adegrr,regard,6,
aehrsw,washer,6,
abeeswx,beeswax,7,
cenottx,context,7,
acdimny,dynamic,7,
bcehiot,biotech,7,
beiklos,obelisk,7,
accilny,cynical,7,
eegrstu,gesture,7,
ggilnow,glowing,7,
acchrst,scratch,7,
imorstu,tourism,7,
aadegmn,managed,7,
ghinott,tonight,7,
adilpry,rapidly,7,
abhmoort,bathroom,8,
bceilpru,republic,8,
cdeennty,tendency,8,
giinnprt,printing,8,
accinoos,occasion,8,
abefoort,barefoot,8,
abenrz,brazen,6,
enrsty,sentry,6,
anoprt,patron,6,
cdeorr,record,6,
aacglot,catalog,7,
acilmsu,musical,7,
clnoort,control,7,
dekorwy,keyword,7,
cemostu,costume,7,
clmnosu,columns,7,
ghinnot,nothing,7,
acdeent,enacted,7,
aenprrt,partner,7,
eeehlopp,peephole,8,
aaclltuy,actually,8,
gghiilnt,lighting,8,
defiinu,unified,7,
efhilms,himself,7,
aenopsw,weapons,7,
bceemos,becomes,7,
addeptu,updated,7,
beemmrs,members,7,
aeemrsu,measure,7,
eghinrr,herring,7,
aenprtt,pattern,7,
aelorvy,overlay,7,
dgilloow,goodwill,8,
aabcilnn,cannibal,8,
eehlmoss,homeless,8,
abder,bread,5,
cehkoy,hockey,6,
hnortw,thrown,6,
deiprs,spider,6,
acceinv,vaccine,7,
agirtvy,gravity,7,
aacegkp,package,7,
aadglnr,garland,7,
ccenort,concert,7,
ddefnou,founded,7,
aginnrw,warning,7,
einrrsu,insurer,7,
aadgmnr,grandma,7,
aghhlotu,although,8,
eeeilnry,eyeliner,8,
eefnqrtu,frequent,8,
aiimnttu,titanium,8,
deeeinrr,reindeer,8,
aelmtu,amulet,6,
adehln,handle,6,
beknor,broken,6,
eghitw,weight,6,
ghilst,lights,6,
emossu,mousse,6,
accekpu,cupcake,7,
cfmoort,comfort,7,
eemnoos,someone,7,
cdeeorv,covered,7,
aacelmr,caramel,7,
aemnory,anymore,7,
eeginns,engines,7,
efginor,foreign,7,
deginss,designs,7,
eghilrt,lighter,7,
celnoos,console,7,
deiostu,outside,7,
ceenprt,percent,7,
eilnoss,lesions,7,
afllnuuw,unlawful,8,
ceeorrrs,sorcerer,8,
aadimnnr,mandarin,8,
acceeilr,celeriac,8,
ghiiknnt,thinking,8,
aghinntu,haunting,8,
aelsux,sexual,6,
eimops,impose,6,
closty,costly,6,
cdeeru,reduce,6,
abnooss,bassoon,7,
deeipst,despite,7,
bghortu,brought,7,
delnoos,noodles,7,
adefltu,default,7,
deginns,sending,7,
dfghilos,goldfish,8,
aiimrstu,tiramisu,8,
adnosttu,standout,8,
abbnrsuu,suburban,8,
dehmot,method,6,
acehrr,archer,6,
deglno,golden,6,
acerttx,extract,7,
ahillnt,anthill,7,
fimnoru,uniform,7,
ceikoos,cookies,7,
achlloo,alcohol,7,
abcorrw,crowbar,7,
aceelnr,cleaner,7,
adeertt,treated,7,
deinstt,dentist,7,
bcgiilmn,climbing,8,
aceilp,plaice,6,
aflmor,formal,6,
afilry,fairly,6,
acnory,crayon,6,
eefmnrt,ferment,7,
acdeetu,educate,7,
giknnow,knowing,7,
giopssy,gossipy,7,
adiilnv,invalid,7,
fiosttu,outfits,7,
agmnost,amongst,7,
opprstu,support,7,
ceeilps,eclipse,7,
affiinty,affinity,8,
adinorry,ordinary,8,
egnoorrv,governor,8,
acciklot,cocktail,8,
delmnpuu,pendulum,8,
adilmnno,mandolin,8,
cdeikp,picked,6,
admnor,random,6,
einrtv,invert,6,
efhlopu,hopeful,7,
afhissw,sawfish,7,
deejnoy,enjoyed,7,
hlmnoty,monthly,7,
ammrsuy,summary,7,
eemoprr,emperor,7,
ddegoss,goddess,7,
agilnpy,playing,7,
ceefprt,perfect,7,
ekorrsw,workers,7,
aghinrs,sharing,7,
iimnrsty,ministry,8,
abdehllu,bullhead,8,
abekst,basket,6,
aemrtu,mature,6,
aelnry,nearly,6,
belrtu,butler,6,
aehrsv,shaver,6,
ceersu,secure,6,
aclrsty,crystal,7,
deeeknw,weekend,7,
cfnnoort,confront,8,
aainottx,taxation,8,
aghinnty,anything,8,
ceinnotu,continue,8,
aeemsssu,masseuse,8,
adeeft,defeat,6,
adhirs,radish,6,
eefrsu,refuse,6,
deegry,greedy,6,
aemppr,mapper,6,
aeiprtv,private,7,
deenstx,extends,7,
cennost,consent,7,
aeefhrt,feather,7,
adginrt,trading,7,
ddeeirs,desired,7,
bcciloor,broccoli,8,
bcehorru,brochure,8,
flrsttuu,trustful,8,
defiinty,identify,8,
ceeilnov,violence,8,
emmmnotu,momentum,8,
adilmopt,diplomat,8,
bhiops,bishop,6,
bdeilo,boiled,6,
beorsx,boxers,6,
abcnor,carbon,6,
ehinopx,phoenix,7,
afissty,satisfy,7,
aellmrs,smaller,7,
ahmpstyy,sympathy,8,
bdflotuu,doubtful,8,
aaelllpr,parallel,8,
ailrsuvv,survival,8,
acceekln,necklace,8,
aadginru,guardian,8,
agiintw,waiting,7,
celmopx,complex,7,
filorst,florist,7,
aeegllz,gazelle,7,
ceorrty,rectory,7,
celrtuu,culture,7,
afhlmru,harmful,7,
ghhortu,through,7,
belmpru,plumber,7,
cddeeru,reduced,7,
aeimnty,anytime,7,
degilnu,indulge,7,
eegilopu,epilogue,8,
beeilrrt,terrible,8,
aflmoprt,platform,8,
aailnssy,analysis,8,
aceprt,carpet,6,
dehlor,holder,6,
aegmnt,magnet,6,
ceikls,sickle,6,
chloos,school,6,
bcklos,blocks,6,
demnor,modern,6,
deffir,differ,6,
ehorsw,shower,6,
inoprs,prison,6,
cdfhios,codfish,7,
cemoops,compose,7,
afhinos,fashion,7,
deeiprx,expired,7,
cefnosu,confuse,7,
aaeirtv,variate,7,
cddeinu,induced,7,
cdeeisv,devices,7,
celnosu,counsel,7,
eefhlrs,herself,7,
ceiprtu,picture,7,
deooprt,torpedo,7,
eeginrt,integer,7,
biilmoty,mobility,8,
aehlmppt,pamphlet,8,
eiiopstv,positive,8,
eeelmott,omelette,8,
ceeeiprv,perceive,8,
cceenort,concrete,8,
afmort,format,6,
cdefor,forced,6,
aeehltt,athlete,7,
aabceln,balance,7,
